Name,Calories,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugar,Protein,Vitamins,Minerals,ServingSize,ServingType
Meatballs (beef),250,16.0,6.0,60.0,580.0,10.0,1.5,3.0,20.0,"[B6:0.4]","[Iron:2.2,Zinc:3.0]",100,plate
Grilled turkey breast,135,3.0,1.0,65.0,60.0,0.0,0.0,0.0,29.0,"[B6:0.6]","[Iron:1.0,Selenium:20.0]",100,plate
Beef stew,150,7.0,2.5,50.0,400.0,8.0,1.5,2.0,18.0,"[B12:1.3]","[Iron:2.5,Zinc:3.5]",100,bowl
Vegetable soup,40,0.5,0.1,0.0,300.0,7.0,2.0,3.0,1.5,"[A:900.0,C:15.0]","[Calcium:30.0]",100,bowl
Lentil soup,116,1.0,0.2,0.0,430.0,20.0,7.0,2.0,9.0,"[B6:0.4]","[Iron:3.3,Potassium:370.0]",100,bowl
Baked chicken wings,203,14.0,4.0,80.0,700.0,0.0,0.0,0.0,18.0,"[B6:0.5]","[Iron:1.2]",100,plate
BBQ ribs,290,22.0,9.0,70.0,900.0,6.0,0.0,5.0,20.0,"[B12:1.5]","[Iron:1.8,Zinc:3.2]",100,plate
Chicken curry,180,8.0,3.0,40.0,450.0,12.0,2.0,4.0,15.0,"[B6:0.5]","[Iron:1.5]",100,plate
Beef burger patty,260,20.0,8.0,70.0,450.0,0.0,0.0,0.0,23.0,"[B12:2.0]","[Iron:2.5,Zinc:4.0]",100,plate
Chicken nuggets,296,18.0,3.0,50.0,500.0,15.0,1.0,2.0,15.0,"[B6:0.4]","[Iron:1.0]",100,quantity
Fish fillet (baked),190,7.0,1.0,60.0,90.0,0.0,0.0,0.0,28.0,"[D:2.5]","[Calcium:20.0,Selenium:35.0]",100,plate
Shrimp stir-fry,140,4.0,1.0,170.0,400.0,8.0,1.0,4.0,18.0,"[B12:1.5]","[Calcium:70.0,Iron:0.6]",100,plate
Tofu stir-fry,120,7.0,1.0,0.0,10.0,6.0,2.0,2.0,10.0,"[B6:0.2]","[Calcium:150.0,Iron:2.0]",100,plate
Pasta primavera,160,5.0,1.0,15.0,250.0,22.0,3.0,4.0,6.0,"[A:300.0,C:20.0]","[Calcium:60.0,Iron:1.2]",100,plate
Tuna salad,180,10.0,2.0,40.0,350.0,8.0,1.0,1.0,20.0,"[B12:2.0]","[Calcium:40.0,Iron:1.0]",100,bowl
Chicken fajitas,160,6.0,1.5,35.0,400.0,10.0,2.0,2.0,15.0,"[A:700.0,C:30.0]","[Calcium:50.0,Iron:1.0]",100,plate
Vegetable lasagna,160,7.0,3.0,20.0,300.0,20.0,3.0,6.0,8.0,"[A:400.0,C:15.0]","[Calcium:120.0]",100,plate
Baked ziti,190,9.0,4.0,30.0,320.0,24.0,2.0,4.0,10.0,"[A:250.0,D:0.8]","[Calcium:140.0]",100,plate
Ranch dressing,350,36.0,6.0,25.0,570.0,3.0,0.0,2.0,2.0,"[A:150.0]","[Calcium:40.0]",100,glass
Hummus,170,9.0,1.3,0.0,250.0,14.0,4.0,0.3,8.0,"[B6:0.1]","[Iron:2.4,Calcium:40.0]",100,bowl
Guacamole,160,15.0,2.0,0.0,250.0,9.0,7.0,0.5,2.0,"[C:10.0,E:2.1]","[Potassium:485.0]",100,bowl
Salsa (tomato),30,0.2,0.0,0.0,300.0,7.0,2.0,4.0,1.0,"[C:15.0]","[Potassium:150.0]",100,bowl
Peanut butter,188,16.0,3.3,0.0,5.0,6.0,2.0,3.0,8.0,"[E:4.5]","[Magnesium:49.0]",100,bowl
Almond butter,196,18.0,1.5,0.0,1.0,5.0,3.0,1.5,7.0,"[E:7.3]","[Magnesium:90.0]",100,bowl
Hard-boiled egg,78,5.0,1.6,187.0,62.0,1.0,0.0,1.0,6.0,"[B12:0.5,D:1.1]","[Iron:0.9]",50,quantity
Cottage cheese (low fat),90,2.3,1.4,10.0,400.0,3.0,0.0,2.0,13.0,"[B12:0.7]","[Calcium:83.0]",100,bowl
Mozzarella cheese,85,6.3,3.9,15.0,176.0,1.0,0.0,0.5,6.3,"[A:200.0]","[Calcium:144.0]",28,slice
Cheddar cheese,114,9.4,6.0,30.0,174.0,0.4,0.0,0.1,7.0,"[A:240.0]","[Calcium:198.0]",28,slice
Brie cheese,95,7.7,4.8,26.0,178.0,0.1,0.0,0.1,5.9,"[A:220.0]","[Calcium:150.0]",28,slice
Swiss cheese,108,8.5,5.0,27.0,54.0,1.5,0.0,0.3,8.2,"[A:280.0]","[Calcium:224.0]",28,slice
Iceberg lettuce,10,0.1,0.0,0.0,10.0,2.0,1.0,1.0,1.0,"[A:250.0]","[Calcium:18.0]",100,quantity
Spinach (raw),7,0.1,0.0,0.0,24.0,1.1,0.7,0.1,0.9,"[A:2813.0,C:28.1]","[Calcium:30.0,Iron:2.7]",100,quantity
Broccoli (steamed),55,0.6,0.1,0.0,40.0,11.2,5.1,2.2,3.7,"[C:89.2,K:101.6]","[Calcium:47.0,Iron:0.7]",100,plate
Carrot (raw),25,0.1,0.0,0.0,42.0,6.0,1.7,2.9,0.6,"[A:835.0,C:5.9]","[Potassium:195.0]",100,quantity
Bell peppers (raw),24,0.2,0.0,0.0,2.0,6.0,2.1,4.2,1.0,"[A:157.0,C:80.4]","[Potassium:211.0]",100,quantity
Cherry tomatoes,30,0.3,0.0,0.0,7.0,7.0,2.0,5.0,1.5,"[A:833.0,C:20.0]","[Potassium:237.0]",100,quantity
Cucumber (raw),8,0.1,0.0,0.0,2.0,2.0,0.7,1.0,0.3,"[K:16.4]","[Potassium:147.0]",100,quantity
Apple pie,237,11.0,3.0,17.0,210.0,34.0,2.5,17.0,2.1,"[C:0.5]","[Calcium:19.0]",100,slice
Brownie,466,24.0,14.0,55.0,350.0,62.0,3.0,44.0,4.0,"[]","[]",100,slice
Muffin (blueberry),377,18.0,3.5,52.0,320.0,50.0,2.0,26.0,5.0,"[]","[]",100,slice
Croissant,406,21.0,12.0,62.0,320.0,45.0,2.0,6.0,8.0,"[]","[]",100,quantity
Bagel (plain),250,1.2,0.2,0.0,480.0,49.0,2.0,7.0,9.0,"[]","[]",100,quantity
Donut (glazed),452,25.0,12.0,25.0,326.0,51.0,2.4,24.0,4.9,"[]","[]",100,quantity
French baguette,270,1.0,0.2,0.0,540.0,56.0,2.7,1.1,9.0,"[]","[]",100,slice
White rice (cooked),130,0.3,0.1,0.0,1.0,28.0,0.4,0.1,2.7,"[]","[]",100,plate
Brown rice (cooked),112,0.9,0.2,0.0,5.0,23.0,1.8,0.4,2.3,"[]","[]",100,plate
Quinoa (cooked),120,1.9,0.2,0.0,7.0,21.3,2.8,0.9,4.1,"[]","[]",100,plate
Grilled vegetables,120,4.0,0.5,0.0,120.0,15.0,4.0,6.0,3.0,"[A:500.0,C:30.0]","[Potassium:400.0]",100,plate
Lasagna,200,10.0,4.0,35.0,450.0,18.0,2.0,4.0,11.0,"[A:300.0]","[Calcium:150.0]",100,plate
Meat pie,270,14.0,6.0,50.0,520.0,20.0,1.5,2.0,15.0,"[B12:1.0]","[Iron:2.0]",100,slice
Chicken noodle soup,60,1.0,0.3,10.0,300.0,8.0,1.0,1.0,5.0,"[A:200.0]","[Calcium:20.0]",100,bowl
Vegetable stir-fry,110,5.0,1.0,0.0,250.0,12.0,3.0,5.0,4.0,"[A:400.0,C:30.0]","[Potassium:350.0]",100,plate
Baked cod,150,2.0,0.5,60.0,70.0,0.2,0.6,0.9,32.0,"[B12:1.5]","[Selenium:40.0]",100,plate
Sweet potato fries,180,8.0,1.0,0.0,210.0,25.0,3.0,5.0,2.0,"[A:15000.0,C:3.0]","[Potassium:450.0]",100,plate
Coleslaw,150,10.0,1.5,15.0,320.0,12.0,3.0,9.0,1.0,"[C:20.0]","[Calcium:40.0]",100,plate
Chocolate cake,370,18.0,9.0,70.0,320.0,48.0,2.0,30.0,5.0,"[A:300,C:0.8,E:1.5]","[]",100,slice
Vanilla ice cream,207,11.0,7.0,58.0,80.0,24.0,0.0,21.0,3.5,"[A:150,C:0.5,E:0.8]","[]",100,quantity
Cheesecake,321,22.0,13.0,110.0,310.0,26.0,0.0,21.0,6.0,"[A:400,E:1.0]","[]",100,slice
Cookies,160,7.5,3.0,15.0,140.0,22.0,1.0,10.0,2.0,"[C:0.2]","[]",100,quantity
Pretzels,110,1.1,0.2,0.0,480.0,23.0,1.0,1.5,3.0,"[]","[]",100,pack
Popcorn (buttered),400,26.0,14.0,0.0,400.0,36.0,4.0,3.0,5.0,"[C:0.5,E:2.0]","[]",100,bowl
Pancakes,227,6.0,1.5,40.0,400.0,39.0,1.0,10.0,6.0,"[C:0.4,E:0.5]","[]",100,quantity
French toast,240,8.0,2.0,60.0,350.0,36.0,1.0,10.0,7.0,"[C:0.4,E:0.7]","[]",100,quantity
Toast with butter,150,7.0,4.5,15.0,180.0,18.0,1.0,1.5,3.0,"[]","[]",100,slice
Chicken shawarma,190,8.0,2.0,55.0,450.0,10.0,1.0,2.0,20.0,"[]","[B12:0.4]",100,quantity
Beef kebab,260,18.0,7.0,75.0,500.0,2.0,0.0,0.0,25.0,"[]","[B12:2.0]",100,quantity
Khorovats (Armenian BBQ),250,20.0,8.0,85.0,450.0,1.0,0.0,0.0,22.0,"[]","[B12:1.8]",100,plate
Harissa,150,8.0,1.5,0.0,300.0,15.0,5.0,5.0,7.0,"[A:200,C:25.0]","[]",100,bowl
Dolma (stuffed grape leaves),180,12.0,2.0,0.0,350.0,14.0,3.0,3.0,5.0,"[A:120,C:15.0]","[]",100,plate
Basturma (cured beef),150,10.0,3.5,70.0,650.0,1.0,0.0,0.0,20.0,"[]","[B12:1.2]",100,slice
Lavash (flatbread),250,5.0,1.0,0.0,430.0,45.0,3.0,2.0,8.0,"[]","[]",100,slice
Lentil patties,200,8.0,1.0,0.0,300.0,24.0,6.0,4.0,10.0,"[C:2.0]","[B12:0.5]",100,plate
Ghapama (Armenian pumpkin dish),130,2.0,0.5,30.0,400.0,28.0,1.5,1.0,5.0,"[A:1500,C:10.0]","[]",100,bowl
Spas (Armenian yogurt soup),70,4.0,2.5,6.0,150.0,5.0,1.0,0.5,2.0,"[B12:0.8,C:1.0]","[]",100,bowl
Gata (Armenian sweet bread),400,8.0,10.0,50.0,350.0,60.0,2.0,2.0,5.0,"[]","[]",100,slice
Meatball stew,180,12.0,8.0,20.0,350.0,10.0,1.5,2.0,15.0,"[]","[Iron:2.0,B12:1.5]",100,bowl
Bagel with cream cheese,300,10.0,8.0,40.0,450.0,50.0,2.0,3.0,10.0,"[]","[]",100,quantity
Avocado,160,2.0,15.0,9.0,7.0,9.0,7.0,2.1,12.0,"[E:2.1,C:12.0]","[]",100,quantity
Brown bread (whole wheat),80,3.0,1.0,1.0,210.0,15.0,3.0,1.2,4.0,"[]","[]",100,slice
Milk (whole),150,8.0,8.0,12.0,120.0,12.0,0.0,8.0,1.2,"[B12:1.2,D:1.0]","[]",100,glass
Butter,102,0.0,12.0,0.1,715.0,0.1,0.0,2.0,0.0,"[A:500,E:2.0]","[]",100,slice
Honey,64,0.0,0.0,17.0,300.0,82.0,0.0,0.0,0.0,"[]","[]",100,bowl
Orange,62,1.0,0.1,0.2,40.0,15.0,53.2,0.2,0.0,"[C:53.2]","[]",100,quantity
Watermelon,46,0.9,0.2,0.1,30.0,11.0,8.1,0.1,0.0,"[C:8.1]","[]",100,slice
Tomato (raw),22,1.0,0.2,0.2,18.0,5.0,13.7,0.5,0.0,"[C:13.7,A:833]","[]",100,quantity
Cauliflower (raw),25,2.0,0.3,0.1,25.0,5.0,46.4,0.3,0.0,"[C:46.4]","[]",100,quantity
Sweet corn (cooked),132,3.0,1.5,2.0,75.0,28.0,6.8,0.5,0.0,"[C:6.8]","[]",100,quantity
Tofu (firm),76,8.0,4.8,1.9,144.0,1.9,0.0,0.0,0.0,"[]","[]",100,pack
Salmon (raw),208,20.0,13.0,0.0,60.0,0.0,0.0,0.0,25.0,"[B12:3.2,D:13.0]","[]",100,slice
Shrimp (raw),99,20.3,0.3,0.2,152.0,0.0,0.0,0.0,1.0,"[B12:1.1]","[]",100,slice
Turkey (roasted),135,29.0,2.0,0.0,70.0,0.0,0.0,0.0,8.0,"[B12:1.5]","[]",100,slice
Ham (cooked),145,21.0,5.0,1.0,950.0,1.0,0.0,0.0,3.0,"[B12:0.8]","[]",100,slice
Pasta (cooked),131,5.0,1.0,25.0,40.0,26.0,0.0,0.0,0.0,"[]","[]",100,bowl
Chocolate (dark),170,2.0,12.0,20.0,550.0,13.0,0.0,0.0,10.0,"[Iron:3.3]","[]",100,quantity
Wine (red),125,0.1,0.0,2.6,85.0,2.6,0.1,0.0,0.0,"[B6:0.1]","[]",100,glass
Beer,153,1.6,0.0,13.0,14.0,13.0,0.0,0.0,0.0,"[]","[]",100,glass
Bagel with lox and cream cheese,350,14.0,15.0,45.0,620.0,40.0,2.0,3.0,15.0,"[]","[B12:2.5]",100,quantity
Breakfast burrito,400,20.0,15.0,40.0,900.0,38.0,4.0,5.0,25.0,"[A:400,C:5.0]","[B12:1.5]",100,quantity
French onion soup,250,10.0,8.0,30.0,800.0,20.0,5.0,3.0,15.0,"[B12:0.5]","[]",100,bowl
Eggplant Parmesan,320,15.0,15.0,25.0,800.0,25.0,7.0,5.0,15.0,"[A:300,C:10.0]","[]",100,plate
Chicken pot pie,350,20.0,15.0,35.0,600.0,30.0,3.0,4.0,20.0,"[]","[B12:1.0]",100,plate
Shrimp scampi,250,20.0,12.0,10.0,800.0,8.0,0.0,2.0,8.0,"[B12:1.5]","[]",100,plate
Veggie sushi roll,200,5.0,3.0,35.0,500.0,40.0,5.0,4.0,5.0,"[C:7.0]","[]",100,quantity
California sushi roll,250,7.0,5.0,40.0,550.0,42.0,7.0,5.0,7.0,"[C:8.0]","[]",100,quantity
Spicy tuna roll,290,15.0,10.0,35.0,600.0,35.0,6.0,6.0,15.0,"[B12:1.8]","[]",100,quantity
Chicken teriyaki,200,18.0,5.0,10.0,500.0,15.0,3.0,5.0,15.0,"[]","[B12:1.3]",100,plate
Beef stir-fry,280,22.0,10.0,15.0,700.0,20.0,2.0,3.0,25.0,"[]","[B12:2.0]",100,plate
Pork ribs,350,25.0,18.0,10.0,850.0,15.0,1.0,5.0,20.0,"[]","[B12:2.5]",100,plate
BBQ chicken pizza,290,18.0,10.0,28.0,680.0,25.0,3.0,4.0,15.0,"[A:400,C:6.0]","[Iron:2.5,Calcium:150]",100,slice
Pepperoni pizza,300,16.0,12.0,30.0,720.0,24.0,2.0,5.0,20.0,"[B12:1.2]","[Iron:3.0,Calcium:180]",100,slice
Veggie pizza,270,12.0,8.0,32.0,600.0,30.0,10.0,5.0,15.0,"[C:20.0,A:800]","[Iron:2.0,Calcium:120]",100,slice
Shawarma quantity,390,25.0,15.0,35.0,850.0,40.0,5.0,6.0,20.0,"[B12:1.5,A:400]","[Iron:3.0,Calcium:150]",100,quantity
Veggie quantity,320,10.0,8.0,40.0,700.0,45.0,12.0,7.0,15.0,"[C:25.0,A:900]","[Iron:2.5,Calcium:140]",100,quantity
Chicken salad sandwich,350,30.0,12.0,28.0,750.0,30.0,3.0,5.0,18.0,"[B12:1.3,A:350]","[Iron:2.5,Calcium:160]",100,quantity
Egg salad sandwich,350,20.0,18.0,25.0,720.0,28.0,4.0,5.0,20.0,"[B12:1.8,A:450]","[Iron:2.0,Calcium:170]",100,quantity
Ham and cheese sandwich,400,25.0,15.0,35.0,900.0,35.0,4.0,7.0,25.0,"[B12:1.0,A:300]","[Iron:2.5,Calcium:200]",100,quantity
Roast beef sandwich,420,30.0,16.0,34.0,920.0,38.0,3.0,6.0,28.0,"[B12:2.0,A:250]","[Iron:3.5,Calcium:170]",100,quantity
French baguette sandwich,430,22.0,12.0,50.0,850.0,40.0,2.0,6.0,15.0,"[B12:1.0]","[Iron:2.0,Calcium:160]",100,quantity
Club sandwich,480,35.0,20.0,40.0,1000.0,45.0,5.0,8.0,30.0,"[B12:2.0,A:500]","[Iron:3.5,Calcium:220]",100,quantity
Turkey sandwich,350,28.0,8.0,30.0,750.0,30.0,2.0,4.0,18.0,"[B12:1.6,A:250]","[Iron:2.0,Calcium:150]",100,quantity
BBQ chicken sandwich,400,30.0,15.0,35.0,850.0,35.0,3.0,5.0,22.0,"[B12:1.5,A:300]","[Iron:2.5,Calcium:170]",100,quantity
Greek gyro,400,28.0,12.0,32.0,900.0,30.0,4.0,6.0,25.0,"[B12:1.7,A:300]","[Iron:3.0,Calcium:180]",100,quantity
Veggie burger with cheese,350,18.0,15.0,30.0,750.0,35.0,7.0,5.0,20.0,"[C:15.0,A:400]","[Iron:2.5,Calcium:200]",100,quantity
Veggie quesadilla,300,15.0,12.0,28.0,650.0,30.0,10.0,5.0,15.0,"[C:20.0,A:500]","[Iron:2.0,Calcium:180]",100,quantity
Cheese quesadilla,350,18.0,20.0,25.0,700.0,25.0,2.0,6.0,25.0,"[A:400]","[Calcium:350]",100,quantity
Chicken quesadilla,400,25.0,15.0,30.0,800.0,30.0,3.0,5.0,20.0,"[B12:1.4,A:350]","[Iron:2.0,Calcium:200]",100,quantity
Beef quesadilla,420,28.0,18.0,32.0,850.0,28.0,3.0,6.0,25.0,"[B12:1.8,A:300]","[Iron:3.0,Calcium:220]",100,quantity
Spaghetti Bolognese,190,12.0,8.0,22.0,450.0,28.0,2.0,3.0,15.0,"[B12:1.0,A:300]","[Iron:2.0,Calcium:150]",100,plate
Meat lasagna,220,14.0,10.0,25.0,500.0,30.0,3.0,4.0,18.0,"[B12:1.5,A:350]","[Iron:2.5,Calcium:170]",100,plate
Risotto,130,5.0,4.0,20.0,350.0,28.0,1.0,2.0,10.0,"[A:150]","[Iron:1.5,Calcium:80]",100,bowl
Falafel balls,320,13.0,17.0,30.0,670.0,15.0,8.0,7.0,10.0,"[C:2.5,B6:0.3]","[Iron:3.5,Calcium:100]",100,plate
Tabouleh,120,4.0,5.0,18.0,310.0,35.0,12.0,7.0,15.0,"[C:10.0,A:250]","[Iron:1.5,Calcium:80]",100,bowl
Dolma,180,6.0,10.0,15.0,450.0,25.0,5.0,4.0,12.0,"[A:400]","[Iron:2.0,Calcium:90]",100,quantity
Greek salad,120,3.0,8.0,10.0,320.0,10.0,3.0,4.0,20.0,"[A:300,C:8.0]","[Iron:1.0,Calcium:150]",100,bowl
Waldorf salad,210,2.0,15.0,20.0,480.0,30.0,5.0,4.0,10.0,"[C:6.0,A:200]","[Iron:1.2,Calcium:50]",100,bowl
Sushi (salmon roll),140,6.0,4.0,25.0,320.0,28.0,3.0,4.0,12.0,"[B12:1.2,D:5.0]","[Iron:1.0,Calcium:40]",100,quantity
Sushi (tuna roll),130,7.0,3.0,22.0,310.0,27.0,2.5,3.0,10.0,"[B12:1.3]","[Iron:1.1,Calcium:40]",100,quantity
Almonds,579,21.0,50.0,22.0,1200.0,12.0,3.0,3.7,30.0,"[E:26.0]","[Iron:3.7,Calcium:260]",100,bowl
Cashews,553,18.0,44.0,30.0,1200.0,10.0,2.0,3.8,25.0,"[K:34.0]","[Iron:6.7,Calcium:37]",100,bowl
Pistachios,562,20.0,45.0,28.0,1130.0,10.0,3.0,4.0,30.0,"[B6:1.7]","[Iron:4.0,Calcium:105]",100,bowl
Walnuts,654,15.0,65.0,14.0,1400.0,7.0,3.1,2.6,20.0,"[E:0.7]","[Iron:2.9,Calcium:98]",100,bowl
Hazelnuts,628,14.0,61.0,17.0,1100.0,10.0,6.0,4.3,25.0,"[E:15.0]","[Iron:4.7,Calcium:114]",100,bowl
Pecans,691,9.0,72.0,14.0,1500.0,7.0,3.5,3.5,20.0,"[A:1.0]","[Iron:2.5,Calcium:70]",100,bowl
Macadamia nuts,718,8.0,76.0,14.0,1600.0,4.0,1.5,2.0,15.0,"[B1:0.7]","[Iron:2.2,Calcium:85]",100,bowl
Chestnuts (boiled),131,3.0,1.0,28.0,250.0,25.0,10.0,3.5,40.0,"[C:43.0]","[Iron:0.9,Calcium:27]",100,whole
Sunflower seeds,584,21.0,51.0,20.0,1600.0,35.0,5.0,9.0,35.0,"[E:35.0]","[Iron:5.0,Calcium:78]",100,bowl
Pumpkin seeds,559,30.0,49.0,10.0,1500.0,40.0,4.5,7.0,35.0,"[K:35.0]","[Iron:8.8,Calcium:60]",100,bowl
Chia seeds,486,17.0,31.0,42.0,1400.0,35.0,8.0,7.0,35.0,"[B1:0.6]","[Iron:7.7,Calcium:630]",100,bowl
Flax seeds,534,18.0,42.0,29.0,1400.0,30.0,9.0,6.0,35.0,"[B1:1.6]","[Iron:5.7,Calcium:255]",100,bowl
Sesame seeds,573,18.0,50.0,23.0,1500.0,40.0,15.0,7.0,40.0,"[B1:1.2]","[Iron:14.6,Calcium:975]",100,bowl
Trail mix,450,10.0,30.0,45.0,1000.0,20.0,5.0,7.0,25.0,"[E:8.0]","[Iron:3.0,Calcium:80]",100,pack
Energy bar,380,10.0,15.0,50.0,900.0,15.0,8.0,6.0,20.0,"[B6:0.3]","[Iron:2.5,Calcium:120]",100,pack
Rice cakes,387,6.0,2.0,85.0,1500.0,50.0,2.0,1.0,10.0,"[B1:0.3]","[Iron:1.5,Calcium:10]",100,quantity
